store_name,Overall_Rating,name,Rating,text,publishedAtDate
Shell 237-239 Roehampton Ln London SW15 4JZ,3.2,Jose Alcaparra,1,"Went in there to buy some food and got told that they only open 6am when in the sign say that it's 24h.
So I came back home and wasted time going there for nothing.",2019-07-23T04:44:13.448Z
Shell 276 Upper St London N1 2TZ,3.7,seife wolde,1,The old man is lazy to press the button on to let you fill fuel even if you waved to do it he did it many times as he does it on mini cab drivers not interested,2019-07-24T08:53:04.991Z
Shell 11 Colney Hatch Ln Muswell Hill London N10 1QB,3.3,Adam Andrzejewski,4,"Stacja Shell znajduje się na Muswell Hill w Londynie . Ceny trochę wyższe od przeciętnej , ale dobry dojazd do 406 i Alexandra Pałace do Bounds Green .",2019-07-26T20:39:56.235Z
Shell Staines Rd Twickenham TW2 5JA,2.9,Mark Martinez,1,"Only stopped here to get a couple of cans of Red Bull. As I went to pay the guy behind the counter told me that ""You shouldn't drink Red Bull because it causes heart attacks"" and ""you don't want to die early do you?"". With that, I told him "" Your right, you can put these back on the shelf and you've just lost a sale. I'll get them from the shop across the road where they will not give me a lecture about what I can or cannot have and it will be much cheaper"". As I turned to leave he was trying to back peddle about what he said but to me it was too little too late (#CustomerServiceRetrainingRequired)
I went across the road and bought my Red Bull's and I got a smile from the guy behind the counter and a "" have a nice day"". No lectures, no early death warnings and no impending doom.
If you want a service with a smile, go across the road from this petrol station and visit the Fulwell Local.",2019-07-27T10:46:39.854Z
Shell SELECT 369 A406 Neasden London NW10 0SH,4.2,Peter Davies,2,It's a garage,2019-07-27T11:54:07.859Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,Carlos Werner,3,Looks a bit run down,2019-07-28T16:32:50.904Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Dino Del Pino,2,Cew,2019-08-01T12:40:51.428Z
Shell 360 Verdant Ln London SE6 1TP,3.7,Tracy L Hart,1,"Shops, coffee, food and washing machines??? to a driver who's been on the road for 2 hours, NO TOILET. Not a convenient place to stop for a rest break but then I guess this establishment cannot make any money from toilet facilities",2019-08-02T12:32:49.451Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Shlza Aryza,1,I always get fuel from this station. I saw an Indian man he was allowed to put fuel in the car but a staff member called Karen. Ask me to pay for the fuel first then pay. I said ok and said I need to put 15 litres of patrol in my car. He replied I don’t know what’s that. He was clearly racist because he allowed that Indian man to fill his tank without making payment first. I am not going to use this patrol station again. I’d use different shell.,2019-08-04T22:22:03.272Z
Shell 237-239 Roehampton Ln London SW15 4JZ,3.2,Miri Hasanni,5,Life savier servis after 00:00 the only choice to get what u need around this area . Im new here but i found this place very usefull,2019-08-04T22:58:25.123Z
Shell 123-125 Wrythe Ln Carshalton SM5 2RU,3.7,Harry Handover,5,Nice at one,2019-08-05T12:05:57.044Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Salim Chowdhury,5,"Good place , staffs friendly and helpful . One of the best shell branches around",2019-08-09T08:23:46.427Z
Shell 59 Plough Ln London SW17 0BW,3.7,SELVA BHARATHI,5,Loved it,2019-08-11T01:17:19.715Z
Shell 231 Western Rd London SW19 2FG,4.1,SELVA BHARATHI,5,Loved it,2019-08-11T01:18:38.776Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Peter Spindley,5,"Honest local independent garage, good for service, mot,  and repair work.small car dealership attached",2019-08-13T05:14:54.391Z
Shell 262 York Rd London SW18 1TP,3.5,Soki London,5,Quick service. Once there was an attendant who did the air in my tyres while getting petrol - for free... not sure if that was a usual thing they do!,2019-08-13T11:03:22.792Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Heather,2,Staff here are horrendous. But nice local garage and convenient,2019-08-15T11:07:40.107Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Car & Technology-PRO,5,V power!,2019-08-15T11:53:50.220Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Tynan Dean,4,"Cheerful guy at the till that remembers you, otherwise its a petrol station ...",2019-08-17T12:42:04.904Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Anthony Jeffrey,4,Very nice staff.,2019-08-17T20:17:38.468Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Carolyn Platt-may,5,Lovely helpful staff,2019-08-18T08:59:06.592Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Danny Kaye,1,Watch the pump,2019-08-18T13:57:17.924Z
Shell 85 London Rd Slough SL3 7RS,4.1,babin rai,4,Always fuel up using V power in shell,2019-08-18T15:37:21.573Z
Shell B466 55 High Rd Ickenham Uxbridge UB10 8LF,3,ricky sandhar,4,friendly staff,2019-08-18T17:23:53.235Z
Shell 148-150 Green Lanes London N13 5UN,4.2,A E,5,"Clean interior service was great,",2019-08-21T02:36:43.806Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Rose Hendrickson,3,Good service,2019-08-21T14:07:20.143Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,mirko sangrigoli,2,very hard to get out of,2019-08-21T18:13:49.136Z
Shell 165 Shooters Hill Rd London SE3 8UQ,4,Azad Bahoz,1,Staff is not polite   i removed my helmet  put on the petrol bank and  they not give me petrol one guy come to the door inside those people call me like thief when i was in a petrol station always take my helmet out by the way,2019-08-21T19:37:39.606Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Jacqui Webb,5,Happy to find a working free ATM,2019-08-22T07:43:41.730Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Sorin Balaban,5,"Best fuel, great staff.",2019-08-23T14:23:09.411Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,christine munalula,5,The cashiers are so pleasant  and polite..,2019-08-23T18:41:53.833Z
Shell 403-405 Twickenham Rd Isleworth TW7 7ES,3.8,Henri Charriere,1,"Had a ‘free coffee’ voucher from Shell, went in to redeem it, got a few other snacks too in the process. Bloke at till insists I have to fill petrol to get the free coffee!! I tell him: the voucher doesn’t say that, it just says ‘free coffee’ on your next visit. But he insisted, so ran out to car, reversed into the pump and refuelled even though didn’t need it really then ran back and picked up my coffee which was getting cold at the counter and paid for snacks and petrol. Emailed Shell who said it’s run by an independent operator so they’ll let them know about it. Let them know about what exactly ?? How to screw your loyal customers? Rubbish. Never going back in there",2019-08-24T03:34:31.448Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,Khaled Miah,3,Usual shell petrol station. Not cheap.,2019-08-24T06:57:15.561Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Michael Sullivan,5,"Really happy staff at this branch, and is very clean.",2019-08-24T14:00:45.934Z
Shell 421 Edgware Rd London NW9 0HS,4,Morvai Tamás,1,"I so disappointed with the fuel quality!!!
More than 20 mpg less than before...
I never use again this petrol station!",2019-08-29T07:35:03.740Z
Shell 21 Pinner Grn Pinner HA5 2AF,3.7,vinay sambyal,1,Charged me thrice for petrol. Came to know when I checked bank statement. Poor and pathetic people. Had been chasing on phone for long long time. No luck yet.,2019-09-02T07:09:22.055Z
Shell 171 High St London West Wickham BR4 0LU,3.2,Le,5,Great little shop,2019-09-02T19:14:58.636Z
Shell 882 Great West Rd Isleworth TW7 5LW,3.5,Dan Clay,1,Horrible service from horrible poeple. Not a chance I'll l go back.,2019-09-03T18:52:52.775Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Rizwan Ahmed Khan,5,Good service,2019-09-04T04:18:51.277Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Asgar Hassanali,4,Quite a small petrol station can be busy and may have to wait. When filling up I find the vehicles are to close together. Could be better by adding customer toilets and cash machine.,2019-09-04T16:22:35.253Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Be Lucky,5,Loving the new Shell points stored on the App,2019-09-04T21:29:04.197Z
Shell A402 104-105 Bayswater Rd London W2 3HJ,2.7,Jamie Leigh,1,No toilets for customers,2019-09-05T07:56:26.810Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Tina M,5,Friendly staff,2019-09-06T05:01:28.733Z
Shell 154 Watford Rd Wembley HA0 3HB,3.5,Юрій Дяконович,1,"It's not really shell
Don't working shell +",2019-09-08T16:39:53.584Z
Tottenham Service Station 311 The Roundway London N17 7AB,4.1,Richard Harris,5,Good prices,2019-09-11T11:41:15.835Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,Robin Wheeler,4,Nice food selection,2019-09-11T16:21:08.054Z
Shell 134 West Hill London SW15 2UE,3.6,ali murad,1,Night staff is very rude don't really want to go there they have to get professional staff.,2019-09-15T02:27:50.529Z
Shell 112-122 Gipsy Hill London SE19 1PL,3.8,Imran Aleem,5,Ok,2019-09-15T16:11:33.151Z
Shell 53 Sewardstone Rd London E4 7TA,3.4,Grant Nevill,1,Staff have no manners,2019-09-17T09:28:34.978Z
Shell 223 Harrow Rd London W2 5EH,3.7,Jignesh Patel,5,Great low price for fuel,2019-09-18T17:51:55.735Z
Shell 470 Larkshall Rd London E4 9HH,4.3,James Williams,1,Basic and expensive,2019-09-19T15:38:25.549Z
Shell B466 55 High Rd Ickenham Uxbridge UB10 8LF,3,Maher Tawfik,4,"Good helpfull & friendly staff, have a little Waitrose so practical for top up shopping. Good car wash, ...etc",2019-09-22T20:01:57.694Z
Shell 470 Larkshall Rd London E4 9HH,4.3,GSE,5,Lovely jubbly,2019-09-23T07:44:48.051Z
Shell 109-113 York Wy London N7 9QE,3.8,Natalie Agers,4,Not bad statin.,2019-09-23T19:36:31.801Z
Shell 209 High St West Drayton UB7 7QP,3.2,Perzisch,5,"Always Fixed Rate , Clean and No Long Queue -",2019-09-23T20:17:42.846Z
Shell 209 High St West Drayton UB7 7QP,3.2,Antonio Freitas,5,When I go there I feel very welcome,2019-09-26T19:11:32.923Z
Shell 470 Larkshall Rd London E4 9HH,4.3,B V Maya,5,Gentle at the counter is very friendly,2019-09-28T19:01:12.306Z
Shell SELECT 144-150 Upper Clapton Rd London E5 9JZ,4.2,M M,5,Very helpful!,2019-09-28T20:43:47.700Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Shaun,3,Great convenience store and Costa coffee on tap,2019-09-30T21:04:06.873Z
Shell 213-217 The Vale London W3 7QS,3.4,Alex Boo,5,There was free costa coffee today,2019-10-01T08:15:26.695Z
Shell 103-105 Pinner Rd Harrow HA1 4YW,3.1,Right Wrong Tube,5,I have been coming to this patrol station for the last 5 years they all my friends and we always have a small talk and they pretty helpful and because of them I know it's free costa for today only so go and enjoy it,2019-10-01T12:33:01.825Z
Shell 123-125 Wrythe Ln Carshalton SM5 2RU,3.7,Diane Coe,5,Always has a clean forecourt and the shop is fully stocked...quite friendly polite staff...good car wash and the cash machine always seems to be working....All in all a highly recommended petrol station.,2019-10-01T18:52:14.054Z
Shell 445-453 Wick Ln Bow London E3 2TB,3.3,Mihai Giurcau,5,"Intuitive position, very helpful and friendly staff, and best services!!! 🙏🚲⛽💐👍💯",2019-10-02T22:23:14.334Z
Shell 290 Willesden Ln London NW2 5HS,3.6,Fer Black B,4,Very good...,2019-10-05T08:14:59.640Z
Shell 409 Kilburn High Rd London NW6 7QE,3.2,Anastasios Astyfidis,1,Car wash Not open at 22:30,2019-10-05T21:43:39.002Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Ian McMullen,4,"Friendly staff, oh and it sells petrol which my car needs to operate correctly",2019-10-05T22:45:40.826Z
Shell Worple Rd Raynes Park London SW20 8RE,3.5,Graham Miller,5,Convenient petrol station in Raynes Park,2019-10-06T00:09:07.786Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Gillian Bayes,5,"Always use this garage for fuel, it's easy to just pop in when passing.",2019-10-08T16:30:44.290Z
Shell 101-103 Southwark Bridge Rd London SE1 1ES,3.6,Dawid Chilarski,1,"Really bad customer service and this moody and rude India... shouldn't be there, it's my last time I was there and it's not just my opinion. Please Check other posts he’s destroying this lovely place.",2019-10-12T13:58:20.763Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Bill Compton,4,"Great new facilities re-opened after a revamp in early 2019. Much better site now with improved parking and more choice. Would have got 5 stars if it wasn't for the fact that the shop is like a Faraday cage and you can't get a Vodafone mobile signal in it resulting in multiple customers unable to launch the Shell loyalty app at the till on their phones and having to do the walk of shame out the shop and back in again. Recommend you launch it before entering. Apart from that, it's great.",2019-10-16T06:10:51.268Z
Shell 383 Edgware Rd London NW2 6LD,3.6,Venelin Venelinov,1,They  always have problem with Shell Go+ I can't use my rewards 🤔🤔👎🏿👎🏿👎🏿,2019-10-16T12:02:31.446Z
Shell 123-127 Portland Rd London SE25 4UX,3.6,Mohan Rathiesh,5,Great customer... lovely staff,2019-10-16T22:14:20.458Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Melanie Knoedler,5,"Nice car wash, air 50pence charge",2019-10-20T17:31:47.464Z
Shell 134 West Hill London SW15 2UE,3.6,Matt Simons,1,"Petrol pump no 6, overflowed and spilt petrol, very old equipment.",2019-10-22T21:32:54.030Z
Shell Recharge Charging Station 923-931 Fulham Rd. London SW6 5HY,3.9,Riley Davidson,1,Live round the corner from here and I was accused of stealing a bottle of wine that I literally bought across the road at Sainsburys. Will now go out of my way to avoid this establishment.,2019-10-25T16:23:50.852Z
Shell 409 Kilburn High Rd London NW6 7QE,3.2,Obaia Akram,1,"Some one there he worked tonight and he work in the night time some times and when he work he close the station the ather people when they working always open but this guy when he work he close all of the time, you should get some one who need to work.",2019-10-25T20:58:44.909Z
Shell Ebury St London SW1W 9QJ,2.8,Francisco De la londres,1,Very rude. I'm a black cab driver and only use shell petrol but will intentionally avoid this station. Grosvenor road shell garage around the corner are much nicer and welcome your business. Avoid at all costs,2019-10-26T07:35:05.310Z
Shell 75 Balham Hill London SW12 9DP,3.2,Janeth Vasquez,1,"Very poor customer services, health and safety is very poor despite customers pointing it out.",2019-10-27T17:06:34.764Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,MaxZeeMize Fitness,3,"No parking, tight and narrow roads",2019-10-27T17:53:16.123Z
Shell 290 Willesden Ln London NW2 5HS,3.6,Marcel Jasenovec,1,"Terrible service at this station. I've bee coming here for the past 8 years as I live right next door and in recent 1 year, the carwash never works. I went there today ready to pay and the guy at the counter tells me it's out of order. No sign, no notice, carwash was wide open with a green ready arrow ON inside the carwash. So he was either lying or just lazy.
Next: they installed a vacuum machine about 2 years ago. It hasn't worked for one single day. I've travelled around Europe in many countries and many shell stations, but I've never seen this terrible, amateur attitude towards management of a petrol station. They keep telling you it's out of order but then you arrive there 30 times in 6 months and it's still out of order.
If you want just a petrol, fine, go ahead, but don't waste time trying to get your car cleaned there. Awful!",2019-10-28T11:53:36.322Z
Shell Grosvenor Rd Pimlico London SW1V 3JY,2.8,Maknti Rissiotis,1,"If you want to scan your shell GO+ don't go to this petrol station .they don't have this service. The employee said it's not good for them .
I think any shell petrol station they didn't have this service they should write on the petrol pump.",2019-10-29T16:39:05.370Z
Shell 75 Balham Hill London SW12 9DP,3.2,Amy Colleen,4,"Big forecourt ⛽️
A few parking spaces for up to 20 minutes 🚙
Costa Coffee ☕️
Drive thru Burger King 🍔🍟",2019-10-30T14:42:28.586Z
Shell 198-208 Old St London EC1V 9BP,3.5,Bosta Gallagher Kereless,3,a well-defined repertoire for a meeting. well located,2019-10-30T15:49:37.853Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Dave White,3,Nice food well prepared and good value for money,2019-11-01T14:17:55.899Z
Shell 134 West Hill London SW15 2UE,3.6,Alan Krk,5,Petrol station.,2019-11-02T23:28:52.795Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Warren Busch,5,Friendly staff always willing to assist,2019-11-06T18:01:47.040Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Alonzo Harris,3,Staff are lovely but access for cars needs to be improved.,2019-11-07T07:39:34.965Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,Sharif Md Parvez,4,Fuel prices very is little bit expensive.,2019-11-08T19:56:04.480Z
Shell 290 Willesden Ln London NW2 5HS,3.6,N'And Go'Pal,2,"Rude and arrogant experience with a   cashier. Car wash timers suspect on more than one occasion. Complained to BP who didn’t seem too interested except to propose a £5/- voucher. Even though it is the closest, I’ve stopped my custom here..",2019-11-09T16:34:03.779Z
Shell 270 Heston Rd Hounslow TW5 0RG,3.5,Ion Petriceanu,1,Operator  Vasim is unprofessional  and  very rude person.,2019-11-11T20:14:11.552Z
Shell 270 Heston Rd Hounslow TW5 0RG,3.5,Nikita Anin,1,"I was not able to pick up my collect+ parcel, because  of  man behind the till called  VASIM.  He refused  to give me a parcel without a PHOTO id,   he said  in his store  it's  only way to pick up a parcel.  Special rules??  Hmmm.",2019-11-11T21:12:39.744Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Thi ha Myo,5,Love it..fuel with shell go+ member..well done free coffee for me .thanks,2019-11-13T09:34:09.113Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Alan Minchin,5,Great honest service,2019-11-14T22:23:13.604Z
Shell 6 Church Rd London W7 1DH,3.2,Ian Walsh,5,Funny guy gives me jokes in the morning,2019-11-17T01:32:53.507Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Barry Cooper,3,Expensive fuel compared to other outlets.,2019-11-17T11:39:59.229Z
Shell 102 Fordbridge Rd Ashford TW15 3RD,4,Shaun Green,5,Great customer service by the lady with the french accent. She is always very friendly and sets a nice mood for a day.,2019-11-18T10:17:39.271Z
Shell 102 Fordbridge Rd Ashford TW15 3RD,4,Ray Matthews,5,I agree with the other comment on here about the great customer service and cheerful lady with French accent who makes it a pleasure to fill up,2019-11-21T07:40:10.020Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Judy Wallace,5,good mechanics,2019-11-22T17:35:00.584Z
Shell Ebury St London SW1W 9QJ,2.8,SHAFIQ Saddique Lala,1,Very rude ... I m Uber driver always use shell but this is the most worst shell experience I ever had. Counter boy doesn’t have manners,2019-11-23T21:19:26.393Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Peter Miranda,5,"Great bunch of guys here. Really friendly, super star service",2019-11-24T03:30:20.655Z
Tottenham Service Station 311 The Roundway London N17 7AB,4.1,Kasia Kunicka,3,szybko i sprawnie,2019-11-26T07:22:02.799Z
Shell 790 Great Cambridge Rd Enfield EN1 4JP,4.1,Resty,1,"Huge area but only 2 or 3 pumps, waste of space and in the shop the selection is low, the waiting is high and its packed with people ALSO workers are not friendly at all! Don't ever go to this place, in conclusion its terrible.",2019-11-30T12:46:53.679Z
Shell 209 High St West Drayton UB7 7QP,3.2,Miss Nikki,1,Bloke told me the toilet is not working and he didn't have a key. Alot of people pull off their journey to get petrol and use the loo.,2019-11-30T19:18:12.498Z
Shell 409 Kilburn High Rd London NW6 7QE,3.2,Will Stone,1,"This location is sending £100 fines to customers who are at their location for 20 mins. Anything could happen in that time. DON'T BUY HERE. Go somewhere else, they are trying to gouge innocent people.",2019-12-02T03:10:29.044Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Rosie,1,"Absolutely disgusting toilets, just had to turn around and walk out.",2019-12-02T15:03:01.211Z
Shell 139-149 Whitechapel Rd London E1 1DT,3.3,Mostak Askor,1,"on the 8th November 2019 I was at the SHELL  my car broke down  I had to wait for a recovery service. Also, I informed the person who was behind the counter. Later on Euro Car Park has issued me a Fixed Penalty Charge Notice. I made an appeal to Euro Car park with a copy of the text from recovery people they refused and asked me to pay the charge. I went as a customer I feel that their greed is high. I went to shell white chapel and had word with the site manager he confirmed to me that he cannot do anything. I am a loyal customer of Shell Since 1987, from today I don't feel comfortable to visit any of the shell stores anymore.",2019-12-03T14:47:07.196Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,catalina obreja,1,"This is the worst experience I’ve ever had ,my boyfriend was waiting in cold outside for 10 min  in front of  the window  to buy some food  , first of all the worker wasn’t there , after few minutes he came talking on the phone and didn’t even care we were there waiting outside by the window ...he make to my boyfriend  a sign to wait, after few more minutes he was still talking and laughing on the phone... what a great costumer service 👍🏼 after a few more minutes we give up , was too cold outside to wait...thank you Shell for this 24h open petrol station!",2019-12-04T01:20:28.659Z
Shell 22-24 Lower Richmond Rd. Richmond TW9 4LH,3.4,Bert 1,1,Car wash broke just after starting. I want a refund,2019-12-06T10:38:13.736Z
Shell 30 The Vale London W3 7RS,3.6,n candreanu,1,"Don't wash the car here!!! My car is all scratched. Was a rented car, and today i gived back so i had to pay for all this scratched !!! Worst car wash!!! And they guy didn't even want to listen to me, saying i don't have proof because i could scratched and blame them, unbelievable!!!",2019-12-08T22:35:00.964Z
Shell 790 Great Cambridge Rd Enfield EN1 4JP,4.1,KerryAnn,5,Always quick. Service friendly staff especially manager.,2019-12-09T12:37:27.846Z
Shell 134 West Hill London SW15 2UE,3.6,Julie Williams,5,Quick cheap nice staff,2019-12-09T20:51:17.405Z
Shell 529 Yeading Ln Northolt UB5 6LW,3.4,khalid pervaiz,1,Bad customer service and rude staff,2019-12-10T22:54:04.180Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Ayobami Emmanuel,5,Had a great time with good food,2019-12-11T00:19:50.715Z
Shell 198-208 Old St London EC1V 9BP,3.5,Jazz,1,"How pathetic, hopeless & rude was that little man who work around 5am in early mornings & stay on window. Instead gently returning the debit card & mobile phone after scanning GO+ app he just throw towards you. Other than cleaning job he must not be allowed to stand on tills.",2019-12-12T06:58:58.772Z
Shell 123-125 Wrythe Ln Carshalton SM5 2RU,3.7,abdul Kashim,1,Customers toilet is closed over 2months,2019-12-15T12:09:38.064Z
Shell SELECT 369 A406 Neasden London NW10 0SH,4.2,Claudionor Bertoldo Santos,4,Otimo,2019-12-16T07:36:29.147Z
Shell 144-150 Upper Clapton Rd London E5 9JZ,3.4,Margarete Mitzelschneyer,5,"(Übersetzt von Google) Immer ein toller Service hier, mit sehr freundlichem Personal. Sie haben einen kostenlosen Geldautomaten zur Verfügung, Luft und Wasserpumpe auch. Ich bevorzuge ihren Premium-Kraftstoff gegenüber anderen Kraftstoffen, weil Sie tatsächlich den Leistungsunterschied fühlen können, wenn Sie damit voll kommen. Es verlängert auch den Verschleiß des Fahrzeugs.

(Original)
Always a great service here, with very friendly staff. They have a free cash point available, air and water pump too. I prefer their premium fuel over other fuels because you can actually feel the performance difference when you fill up with it. It also prolongs the wear and tear of the vehicle too.",2019-12-18T21:50:20.341Z
Shell 109-113 York Wy London N7 9QE,3.8,T Talukder,2,All the time toilet out of order,2019-12-19T20:14:02.937Z
Shell 78 The Ridgeway Enfield EN2 8JF,4.2,Shameem Baboo,5,Ok,2019-12-21T00:08:05.345Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Philip Perrett,5,Good staff,2019-12-21T09:33:51.707Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Gareth Middleton,1,The staff are very rude.,2019-12-22T16:32:43.516Z
Shell 262 York Rd London SW18 1TP,3.5,Dmitry Havansky,2,"All good except jet wash. Whatever gold option you choose - it is unbelievably short! Combined with poor lighting and short hoses, you end up with dirty car",2019-12-22T16:55:30.857Z
Shell 609 Kenton Rd Harrow HA3 9RW,3,Dewan zeshan Hameed,1,"Worst customer service by these people, no manners whatsoever",2019-12-23T16:40:28.294Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Filipe Guerreiro,4,EV charging available.,2019-12-24T07:28:14.611Z
Shell Empire Way Wembley Park Wembley HA9 0EW,3.4,Aggressive local SEO,1,No customer toilet....,2019-12-24T10:21:09.847Z
Shell 30 The Vale London W3 7RS,3.6,Mohamed Chelqi,1,"Worst customer service, rude staff, especially one member who kept and telling me the paypoint was not working when it was. He later told me not to come at certain times as he can't Keep his eyes on the forecourt. I also had my vehicle scratched by the car wash. Please avoid the petrol station, it's the worst you'll ever be in.",2019-12-24T11:25:33.903Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Muhammad Saad Munawar Ghuman,4,1 staff only,2019-12-25T23:27:10.068Z
Shell 369 A406 Neasden London NW10 0LH,3.7,Dale Clarke,3,Good service,2019-12-26T14:02:08.575Z
Shell Apex Corner Barnet Wy London NW7 3ET,3.1,Tom Hillfinger,3,"Arrived in my black g wagon to refuel in the evening and staff refused to let me into the building at first, then a young man eventually served me and allowed me to understand that he wasn't as tapped as the other workers.",2019-12-27T11:33:05.229Z
Shell 123-125 Wrythe Ln Carshalton SM5 2RU,3.7,Ferenc Horvath,5,"Best customer service ever, the man in the shop his name is Mariathas really helpful, top service, thank you sir.",2019-12-27T16:13:03.105Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Gerald Mccarthy,3,Expensive fuel. Bought a minimum amount.,2019-12-27T16:32:58.755Z
Shell B466 55 High Rd Ickenham Uxbridge UB10 8LF,3,Aliur Rahman,1,"Please note this is not a review on the store but in the Shell App.

I would seriously review the App team at Shell HQ. I have tried being loyal to Shell to use the App, but the app is a shambles. For starters there is a new App out every 3-6 months, which then causes you to lose your total trip amount.

Secondly and most annoyingly, after 10 trips Shell is meant to reward you, annoyingly,  my trips are not calculated properly and when I am getting close to the 10 trips, it goes back down to saying you have done 4 trips, 6 more to go!!! Even though I can back up the number of trips I have made as it's all linked to my PayPal account.

Very shoddy work by the App team, its about time you really looked at this as its actually a nice and convenient proposition.

I will feedback on the App as well.",2019-12-30T13:47:58.684Z
Tottenham Service Station 311 The Roundway London N17 7AB,4.1,Colin Miller,3,Its a petrol station,2019-12-30T17:32:38.824Z
Shell 470 Larkshall Rd London E4 9HH,4.3,phill heyden,5,Top petrol,2020-01-02T09:01:08.931Z
Shell Elstree Way Borehamwood WD6 1LB,3.4,Adam Nichols,5,"Fantastic shell station, a personal favourite.",2020-01-02T12:09:38.292Z
Shell 223 Harrow Rd London W2 5EH,3.7,Rob Jam (RJ),3,very small petrol station and beggars hang around the pumps. tight squeeze to get to some pumps.,2020-01-02T15:17:43.217Z
Shell 223 Harrow Rd London W2 5EH,3.7,York Now,4,"This Petrol station is in a good location, and always has gloves (bags with a hand printed on it) for when you use the pumps.",2020-01-05T00:53:02.592Z
Shell 65 E Barnet Rd London Barnet EN4 8RN,3.1,E,1,This shell petrol station is the worst station that I have ever been in my life.One of the staffs who called Niran is very rude and aggressive toward me and also rude to other customers who were visiting that day.,2020-01-07T01:35:52.546Z
Shell 383 Edgware Rd London NW2 6LD,3.6,Milad Noory,1,"No shell card accepted, they got no board or sign outside",2020-01-11T04:43:58.715Z
Shell 75 Balham Hill London SW12 9DP,3.2,h ghazni,1,"Worst staff, un-trained and rude.
I was told off by one their staff name (Ramesha) for using their disposable gloves and tissue paper.
I was disgusted.
Never go again....",2020-01-11T17:28:41.856Z
Shell 109-113 York Wy London N7 9QE,3.8,Marta Kruvena,1,Very expensive and very rude staff avoid,2020-01-12T02:40:45.986Z
Shell 470 Larkshall Rd London E4 9HH,4.3,Edwin Molina,4,Good service fuel a bit expensier,2020-01-13T08:14:10.173Z
Shell Marylebone Rd London NW1 5AR,2.1,G Man,1,Avoid!!!!!,2020-01-13T11:51:49.100Z
Shell Chertsey Rd Addlestone KT15 2ED,3.5,Daniella,3,The staff here on the tills are very slow. Whenever I go in there's a queue and have to wait at least 5 minutes to pay and they're not particularly friendly either. Do have a good lunch selection though with sandwiches and a hot counter.,2020-01-13T16:57:39.001Z
Shell 104-116 Holloway Rd London N7 8JE,3.7,Mandeep Dhanoa,1,Limit you £25 if you have a hood on when it's raining. Last time I use this station,2020-01-13T22:29:24.607Z
Shell Marylebone Rd London NW1 5AR,2.1,Raquel Fernández Segura,1,"Really rude Indian person. It was that bad the experience that I even told him to call the police. This person was shouting, he even pushed me out of the door because I was taking a bit longer to decided what I want. At the beginning I was looking for hot tea and the don’t serve in Costa machine than I was looking for some alternative. Please check the CCTV. You will see that he puts his hand above my shoulders, really aggressive actitud.",2020-01-16T04:20:35.541Z
Shell N Orbital Rd Denham Uxbridge UB9 5EY,3.4,Dan G,3,A bit pricey,2020-01-16T08:10:19.134Z
